,11:10:1:3:2:5:4:7:6:9:8
Signature.1,0.0139047255284
Signature.2,0.0434467827055
Signature.3,0.0
Signature.4,0.0
Signature.5,0.0
Signature.6,0.0481090808065
Signature.7,0.040364752834
Signature.8,0.0
Signature.9,0.0
Signature.10,0.0
Signature.11,0.0
Signature.12,0.0
Signature.13,0.0
Signature.14,0.0
Signature.15,0.0
Signature.16,0.0
Signature.17,0.0
Signature.18,0.0
Signature.19,0.0202863011203
Signature.20,0.491913918214
Signature.21,0.139225643353
Signature.22,0.0
Signature.23,0.0
Signature.24,0.0308790319144
Signature.25,0.0
Signature.26,0.0778557679856
Signature.27,0.0
Signature.28,0.0
Signature.29,0.0
Signature.30,0.0940139955386
